state,charter_enroll_pct_2022_23,naep_math_2024,naep_reading_2024
Vermont,0.0,275.617660941484,257.283374473835
South Dakota,0.0,281.101137171665,259.886371256103
North Dakota,0.0,279.765445425712,257.390714797099
Nebraska,0.0,279.8834957478,256.132485931986
Montana,0.0,279.082095551632,260.53233472843
Kentucky,0.0,270.813300352469,257.999548306392
Iowa,0.04995965559558056,274.823931474603,260.700823621737
Virginia,0.09933740680175601,274.988689820791,256.257512495574
Washington,0.4332512258569488,273.665174159465,259.269118662247
West Virginia,0.4954029636425281,260.769078185284,247.360374392079
Kansas,0.5161879345459653,274.136728097293,255.490124899527
Wyoming,0.7310716255529,278.315324001753,259.967322974106
Mississippi,0.7370226103546567,269.060485008035,253.466620687592
Alabama,0.76592104404046,261.769896296059,249.60009682329
Maine,1.613619278192462,272.621883145892,255.04307191495
Connecticut,2.191902791599015,276.674248483695,263.097427626236
Maryland,2.694519894948914,268.213759837437,258.323688032782
Missouri,2.83598917787247,270.363197434814,255.280888010341
Illinois,3.251275428811225,277.416365661062,261.61991010845
New Hampshire,3.29777146980422,279.7446422881,263.913058116918
Georgia,3.990297960218667,268.65580533609,259.326928809736
New Jersey,4.339048022810334,281.684697993032,265.962586543416
Tennessee,4.415259748654072,275.982987568614,258.965371035822
Indiana,4.934868844688284,278.185063694114,261.657813224993
Massachusetts,5.261657641973103,283.465558985794,268.01134585951
Wisconsin,5.951281178587057,282.649633523366,260.090272594273
South Carolina,6.270662610068592,268.006371115326,253.687785775905
Alaska,6.402851831735807,263.962652757225,246.448911890448
Ohio,6.884847416589304,278.81272056262,260.420681003641
New York,7.015386482668746,270.851723995752,256.867847392969
Hawaii,7.125357648537974,270.041103022353,257.283562729771
Oklahoma,7.228578725760033,264.454031154883,248.787388013967
Oregon,7.611142556357153,267.940475829647,254.829850771172
Minnesota,7.803277859449047,282.087420612381,260.066146684754
Arkansas,8.449772935170405,266.194833728906,254.774995307253
Texas,8.495816453332933,269.393041368541,252.267112664857
Rhode Island,8.935035385547332,269.826789466172,257.767653131533
Idaho,9.011728671275785,278.104478921394,260.728544479058
North Carolina,9.045794248249685,275.821517956785,254.901868130391
Pennsylvania,9.664045148697161,276.245914941856,259.147392115949
New Mexico,9.865520843950668,256.210854081077,245.055931705886
Michigan,10.82689000030276,269.978773980969,255.062217154613
Utah,11.36499361598448,281.79013940125,261.193782118997
California,11.94365434406008,268.779817602202,254.372086569589
Delaware,12.88092461032764,263.057137020663,249.451534365685
Louisiana,13.24217254175689,266.783263695595,256.534204237025
Florida,13.32228853745301,267.242907869627,252.857903224996
Nevada,14.20118709933332,265.177161678326,253.286888821065
Colorado,15.13954105273312,278.107689530909,264.537032597706
Arizona,20.53219877708267,269.656164092934,254.343065835469
